Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
596,Iman Shumpert\shumpim01,SG,28,SAC,42,40,1099,4.4,11.4,.382,2.4,6.6,.366,1.9,4.8,.404,1.1,1.3,.829,0.6,3.6,4.2,3.0,1.5,0.7,1.2,3.0,12.3
597,Iman Shumpert\shumpim01,SG,28,HOU,20,1,382,3.2,9.2,.347,2.0,6.7,.296,1.2,2.5,.481,0.2,0.4,.500,0.8,4.3,5.1,2.0,1.1,0.4,1.1,3.3,8.6
598,Pascal Siakam\siakapa01,PF,24,TOR,80,79,2548,7.3,13.4,.549,1.1,3.0,.369,6.2,10.3,.602,3.3,4.3,.785,1.8,6.0,7.8,3.5,1.0,0.7,2.2,3.4,19.1
599,Jordan Sibert\siberjo01,SG,26,ATL,1,0,4,9.0,9.0,1.000,9.0,9.0,1.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
600,Ben Simmons\simmobe01,PG,22,PHI,79,79,2700,7.2,12.8,.563,0.0,0.1,.000,7.2,12.7,.566,3.4,5.7,.600,2.3,7.0,9.3,8.1,1.5,0.8,3.7,2.8,17.8
601,Jonathon Simmons\simmojo02,SG-SF,29,TOT,56,9,1064,4.5,11.8,.380,0.9,3.5,.269,3.6,8.3,.427,2.4,3.3,.742,0.9,3.3,4.3,4.3,1.0,0.5,2.3,3.0,12.4
602,Jonathon Simmons\simmojo02,SG,29,ORL,41,9,845,4.4,12.2,.364,0.8,3.5,.229,3.6,8.6,.419,2.4,3.1,.778,1.0,3.3,4.3,4.0,0.8,0.6,2.4,2.9,12.1
603,Jonathon Simmons\simmojo02,SF,29,PHI,15,0,219,4.8,10.5,.453,1.5,3.5,.429,3.3,7.1,.465,2.6,4.1,.640,0.7,3.6,4.3,5.4,1.8,0.2,2.0,3.5,13.6
604,Kobi Simmons\simmoko01,PG,21,CLE,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,Anfernee Simons\simonan01,SG,19,POR,20,1,141,7.1,16.1,.444,2.6,7.4,.345,4.6,8.7,.529,2.3,4.1,.563,0.8,2.6,3.3,3.3,0.3,0.0,2.8,2.3,19.1
606,Marcus Smart\smartma01,SG,24,BOS,80,60,2200,3.9,9.3,.422,2.1,5.7,.364,1.8,3.6,.511,1.7,2.1,.806,0.9,2.9,3.8,5.3,2.3,0.5,2.0,3.3,11.6
